SalesKey,TransactionId,DateKey,TimeKey,CustomerKey,ShopKey,MenuItemKey,Quantity,UnitPrice,TotalAmount,LoyaltyPointsEarned,LoyaltyPointsRedeemed,PaymentMethod,Size,SourceSystem,CreatedAt
43,txn-000043,20250802,203600,327,2,6,2,4.00,8.00,3,0,Debit Card,Small,CosmosDB,2025-08-02 20:36:00.000
44,txn-000044,20250803,3500,254,19,4,2,3.75,7.50,3,3,Gift Card,Small,CosmosDB,2025-08-03 00:35:00.000
45,txn-000045,20250801,231100,138,2,10,3,3.75,11.25,5,0,Mobile Pay,Small,CosmosDB,2025-08-01 23:11:00.000
46,txn-000046,20250802,235300,352,8,15,2,5.50,11.00,1,3,Debit Card,Medium,CosmosDB,2025-08-02 23:53:00.000
47,txn-000047,20250802,91400,466,9,9,2,3.50,7.00,0,1,Mobile Pay,Small,CosmosDB,2025-08-02 09:14:00.000
48,txn-000048,20250803,143800,439,11,2,2,4.25,8.50,2,3,Credit Card,Medium,CosmosDB,2025-08-03 14:38:00.000
49,txn-000049,20250804,13600,65,14,16,2,6.50,13.00,5,2,Gift Card,Medium,CosmosDB,2025-08-04 01:36:00.000
50,txn-000050,20250804,112000,185,6,10,1,4.50,4.50,2,3,Debit Card,Medium,CosmosDB,2025-08-04 11:20:00.000
51,txn-000051,20250803,53900,300,5,17,1,8.00,8.00,5,0,Cash,Medium,CosmosDB,2025-08-03 05:39:00.000
52,txn-000052,20250803,22500,253,17,14,4,3.50,14.00,1,0,Gift Card,Large,CosmosDB,2025-08-03 02:25:00.000
53,txn-000053,20250802,160900,236,19,17,2,7.25,14.50,0,0,Debit Card,Small,CosmosDB,2025-08-02 16:09:00.000
54,txn-000054,20250801,152300,405,12,11,3,3.00,9.00,3,1,Cash,Medium,CosmosDB,2025-08-01 15:23:00.000
55,txn-000055,20250802,160500,211,18,13,2,2.50,5.00,3,0,Cash,Medium,CosmosDB,2025-08-02 16:05:00.000
56,txn-000056,20250804,64600,136,19,12,2,4.25,8.50,4,1,Gift Card,Large,CosmosDB,2025-08-04 06:46:00.000
57,txn-000057,20250804,30400,217,16,13,2,2.50,5.00,5,0,Cash,Medium,CosmosDB,2025-08-04 03:04:00.000
58,txn-000058,20250802,72700,215,1,15,1,4.75,4.75,1,0,Gift Card,Small,CosmosDB,2025-08-02 07:27:00.000
59,txn-000059,20250804,82400,91,19,2,1,4.25,4.25,2,1,Gift Card,Medium,CosmosDB,2025-08-04 08:24:00.000
60,txn-000060,20250802,232300,269,4,16,3,6.50,19.50,4,2,Cash,Medium,CosmosDB,2025-08-02 23:23:00.000
61,txn-000061,20250803,44900,124,16,5,3,4.50,13.50,5,2,Cash,Medium,CosmosDB,2025-08-03 04:49:00.000
62,txn-000062,20250801,162100,86,5,3,3,3.50,10.50,2,0,Debit Card,Medium,CosmosDB,2025-08-01 16:21:00.000
63,txn-000063,20250803,152200,73,17,18,2,6.25,12.50,0,0,Credit Card,Small,CosmosDB,2025-08-03 15:22:00.000
64,txn-000064,20250803,12100,56,19,4,1,3.75,3.75,1,3,Cash,Small,CosmosDB,2025-08-03 01:21:00.000
65,txn-000065,20250802,65100,267,16,7,4,3.50,14.00,2,2,Credit Card,Small,CosmosDB,2025-08-02 06:51:00.000
66,txn-000066,20250802,104800,223,4,12,3,2.75,8.25,2,1,Gift Card,Small,CosmosDB,2025-08-02 10:48:00.000
67,txn-000067,20250803,10000,494,9,18,3,7.00,21.00,2,0,Mobile Pay,Medium,CosmosDB,2025-08-03 01:00:00.000
68,txn-000068,20250802,22800,29,4,9,4,4.25,17.00,1,3,Cash,Medium,CosmosDB,2025-08-02 02:28:00.000
69,txn-000069,20250803,43700,277,13,20,2,4.50,9.00,0,3,Gift Card,Large,CosmosDB,2025-08-03 04:37:00.000
70,txn-000070,20250801,105100,33,5,18,4,7.75,31.00,0,2,Debit Card,Large,CosmosDB,2025-08-01 10:51:00.000
71,txn-000071,20250802,225600,490,3,13,3,2.50,7.50,1,1,Debit Card,Medium,CosmosDB,2025-08-02 22:56:00.000
72,txn-000072,20250803,54800,385,14,3,4,4.25,17.00,3,0,Credit Card,Large,CosmosDB,2025-08-03 05:48:00.000
73,txn-000073,20250802,135200,391,8,15,1,6.25,6.25,0,2,Cash,Large,CosmosDB,2025-08-02 13:52:00.000
74,txn-000074,20250802,223900,245,2,2,1,4.25,4.25,3,0,Gift Card,Medium,CosmosDB,2025-08-02 22:39:00.000
75,txn-000075,20250802,3500,250,17,7,1,4.50,4.50,4,1,Cash,Medium,CosmosDB,2025-08-02 00:35:00.000
76,txn-000076,20250801,214300,107,14,8,1,2.50,2.50,1,3,Credit Card,Small,CosmosDB,2025-08-01 21:43:00.000
77,txn-000077,20250803,105600,287,17,13,1,1.75,1.75,4,1,Debit Card,Small,CosmosDB,2025-08-03 10:56:00.000
78,txn-000078,20250801,183100,318,4,4,4,4.75,19.00,1,1,Gift Card,Medium,CosmosDB,2025-08-01 18:31:00.000
79,txn-000079,20250803,163200,453,18,13,2,3.25,6.50,5,2,Gift Card,Large,CosmosDB,2025-08-03 16:32:00.000
80,txn-000080,20250802,231000,83,16,2,1,3.25,3.25,3,3,Mobile Pay,Small,CosmosDB,2025-08-02 23:10:00.000
81,txn-000081,20250802,15600,336,10,6,3,6.00,18.00,3,0,Mobile Pay,Large,CosmosDB,2025-08-02 01:56:00.000
82,txn-000082,20250801,170500,116,3,4,3,3.75,11.25,1,2,Credit Card,Small,CosmosDB,2025-08-01 17:05:00.000
83,txn-000083,20250802,35100,164,5,13,4,1.75,7.00,4,1,Cash,Small,CosmosDB,2025-08-02 03:51:00.000
84,txn-000084,20250802,211100,370,20,3,2,2.50,5.00,2,1,Cash,Small,CosmosDB,2025-08-02 21:11:00.000
85,txn-000085,20250802,52900,376,19,1,1,5.25,5.25,3,0,Debit Card,Large,CosmosDB,2025-08-02 05:29:00.000
86,txn-000086,20250802,172400,99,6,7,1,3.50,3.50,3,3,Debit Card,Small,CosmosDB,2025-08-02 17:24:00.000
87,txn-000087,20250804,41300,83,8,17,2,7.25,14.50,3,2,Debit Card,Small,CosmosDB,2025-08-04 04:13:00.000
88,txn-000088,20250802,83700,110,1,9,1,4.25,4.25,2,2,Credit Card,Medium,CosmosDB,2025-08-02 08:37:00.000
89,txn-000089,20250803,30400,495,20,1,4,4.00,16.00,5,2,Credit Card,Medium,CosmosDB,2025-08-03 03:04:00.000
90,txn-000090,20250802,84100,466,5,18,4,7.75,31.00,3,0,Mobile Pay,Large,CosmosDB,2025-08-02 08:41:00.000
91,txn-000091,20250802,34700,398,1,5,4,4.50,18.00,1,2,Debit Card,Medium,CosmosDB,2025-08-02 03:47:00.000
92,txn-000092,20250802,72300,410,4,7,1,4.50,4.50,2,0,Cash,Medium,CosmosDB,2025-08-02 07:23:00.000
93,txn-000093,20250802,72800,69,11,16,2,7.25,14.50,1,0,Mobile Pay,Large,CosmosDB,2025-08-02 07:28:00.000
94,txn-000094,20250801,215200,143,4,1,1,3.00,3.00,3,1,Credit Card,Small,CosmosDB,2025-08-01 21:52:00.000
95,txn-000095,20250804,10300,390,2,5,1,3.50,3.50,5,2,Credit Card,Small,CosmosDB,2025-08-04 01:03:00.000
96,txn-000096,20250801,113400,171,8,17,3,8.00,24.00,4,0,Gift Card,Medium,CosmosDB,2025-08-01 11:34:00.000
97,txn-000097,20250802,193000,363,2,19,4,2.50,10.00,2,1,Credit Card,Large,CosmosDB,2025-08-02 19:30:00.000
98,txn-000098,20250802,82600,252,15,16,1,7.25,7.25,4,3,Mobile Pay,Large,CosmosDB,2025-08-02 08:26:00.000
99,txn-000099,20250803,185900,61,7,20,3,3.00,9.00,1,2,Gift Card,Medium,CosmosDB,2025-08-03 18:59:00.000
100,txn-000100,20250802,44700,42,2,17,3,8.75,26.25,0,0,Mobile Pay,Large,CosmosDB,2025-08-02 04:47:00.000
101,txn-000101,20250801,83200,355,20,20,3,4.50,13.50,3,2,Mobile Pay,Large,CosmosDB,2025-08-01 08:32:00.000
102,txn-000102,20250801,135000,60,11,15,1,4.75,4.75,4,1,Cash,Small,CosmosDB,2025-08-01 13:50:00.000
103,txn-000103,20250804,75200,382,12,20,3,3.00,9.00,1,2,Mobile Pay,Small,CosmosDB,2025-08-04 07:52:00.000
104,txn-000104,20250801,160200,49,7,15,1,6.25,6.25,1,2,Cash,Large,CosmosDB,2025-08-01 16:02:00.000
105,txn-000105,20250802,21600,351,5,10,4,3.75,15.00,2,2,Gift Card,Small,CosmosDB,2025-08-02 02:16:00.000
106,txn-000106,20250802,223400,177,18,18,4,7.75,31.00,2,1,Debit Card,Large,CosmosDB,2025-08-02 22:34:00.000
107,txn-000107,20250802,41800,248,12,20,1,3.00,3.00,5,2,Cash,Medium,CosmosDB,2025-08-02 04:18:00.000
108,txn-000108,20250801,71300,208,5,1,4,3.00,12.00,2,0,Debit Card,Small,CosmosDB,2025-08-01 07:13:00.000
109,txn-000109,20250802,122200,154,11,1,3,4.00,12.00,2,1,Mobile Pay,Medium,CosmosDB,2025-08-02 12:22:00.000
110,txn-000110,20250804,75300,136,8,15,3,4.75,14.25,4,0,Mobile Pay,Small,CosmosDB,2025-08-04 07:53:00.000
111,txn-000111,20250802,33500,332,13,3,1,3.50,3.50,5,3,Mobile Pay,Medium,CosmosDB,2025-08-02 03:35:00.000
112,txn-000112,20250801,110600,271,20,10,4,5.25,21.00,3,2,Gift Card,Large,CosmosDB,2025-08-01 11:06:00.000
113,txn-000113,20250801,94500,202,20,12,1,4.25,4.25,3,1,Gift Card,Large,CosmosDB,2025-08-01 09:45:00.000
114,txn-000114,20250801,93600,44,14,17,1,8.75,8.75,0,0,Cash,Large,CosmosDB,2025-08-01 09:36:00.000
115,txn-000115,20250803,100300,12,2,2,2,3.25,6.50,0,0,Credit Card,Small,CosmosDB,2025-08-03 10:03:00.000
116,txn-000116,20250802,125900,354,11,8,2,3.50,7.00,3,0,Gift Card,Medium,CosmosDB,2025-08-02 12:59:00.000
117,txn-000117,20250803,70800,490,6,13,3,3.50,10.50,4,3,Gift Card,Large,CosmosDB,2025-08-03 07:08:00.000
118,txn-000118,20250801,191200,303,7,13,3,1.75,5.25,4,2,Gift Card,Small,CosmosDB,2025-08-01 19:12:00.000
119,txn-000119,20250804,12100,140,9,20,4,4.75,19.00,5,2,Cash,Large,CosmosDB,2025-08-04 01:21:00.000
120,txn-000120,20250801,200400,172,7,15,4,4.75,19.00,5,1,Gift Card,Small,CosmosDB,2025-08-01 20:04:00.000
121,txn-000121,20250801,181900,6,16,11,3,2.25,6.75,0,1,Gift Card,Small,CosmosDB,2025-08-01 18:19:00.000
122,txn-000122,20250804,52100,284,2,5,3,3.50,10.50,3,3,Mobile Pay,Small,CosmosDB,2025-08-04 05:21:00.000
123,txn-000123,20250803,210400,209,14,11,4,3.75,15.00,0,0,Gift Card,Large,CosmosDB,2025-08-03 21:04:00.000
124,txn-000124,20250802,35900,204,1,9,3,3.50,10.50,1,0,Gift Card,Small,CosmosDB,2025-08-02 03:59:00.000
125,txn-000125,20250803,90000,113,7,13,3,1.75,5.25,3,0,Gift Card,Small,CosmosDB,2025-08-03 09:00:00.000
126,txn-000126,20250803,174600,129,18,18,4,7.00,28.00,2,2,Debit Card,Medium,CosmosDB,2025-08-03 17:46:00.000
127,txn-000127,20250801,115500,297,14,14,2,2.75,5.50,5,3,Credit Card,Medium,CosmosDB,2025-08-01 11:55:00.000
128,txn-000128,20250802,193800,315,16,4,1,5.75,5.75,2,3,Debit Card,Large,CosmosDB,2025-08-02 19:38:00.000
129,txn-000129,20250802,213800,157,14,18,2,7.75,15.50,3,3,Mobile Pay,Large,CosmosDB,2025-08-02 21:38:00.000
130,txn-000130,20250801,171600,82,18,6,3,5.25,15.75,4,1,Cash,Medium,CosmosDB,2025-08-01 17:16:00.000
131,txn-000131,20250802,235100,431,1,4,4,5.75,23.00,3,3,Cash,Large,CosmosDB,2025-08-02 23:51:00.000
132,txn-000132,20250801,193800,404,11,7,4,3.50,14.00,5,1,Gift Card,Small,CosmosDB,2025-08-01 19:38:00.000
133,txn-000133,20250803,90700,442,20,10,3,4.50,13.50,3,2,Cash,Medium,CosmosDB,2025-08-03 09:07:00.000
134,txn-000134,20250803,153400,343,1,15,2,5.50,11.00,3,0,Gift Card,Medium,CosmosDB,2025-08-03 15:34:00.000
135,txn-000135,20250802,183300,277,4,5,2,4.50,9.00,3,1,Debit Card,Medium,CosmosDB,2025-08-02 18:33:00.000
136,txn-000136,20250803,202800,92,8,7,3,5.50,16.50,1,0,Cash,Large,CosmosDB,2025-08-03 20:28:00.000
137,txn-000137,20250802,183700,292,14,16,3,6.50,19.50,4,3,Debit Card,Medium,CosmosDB,2025-08-02 18:37:00.000
138,txn-000138,20250803,120200,124,16,3,3,4.25,12.75,0,1,Gift Card,Large,CosmosDB,2025-08-03 12:02:00.000
139,txn-000139,20250803,155300,125,1,3,3,3.50,10.50,5,2,Cash,Medium,CosmosDB,2025-08-03 15:53:00.000
140,txn-000140,20250804,135400,256,19,17,2,8.00,16.00,0,3,Credit Card,Medium,CosmosDB,2025-08-04 13:54:00.000
141,txn-000141,20250802,155900,395,20,18,4,6.25,25.00,1,0,Credit Card,Small,CosmosDB,2025-08-02 15:59:00.000
142,txn-000142,20250801,163200,5,7,14,4,2.75,11.00,3,3,Cash,Medium,CosmosDB,2025-08-01 16:32:00.000
143,txn-000143,20250803,213100,156,9,17,4,8.75,35.00,2,2,Mobile Pay,Large,CosmosDB,2025-08-03 21:31:00.000
144,txn-000144,20250801,120500,470,8,20,4,3.25,13.00,3,2,Cash,Small,CosmosDB,2025-08-01 12:05:00.000
145,txn-000145,20250801,104200,213,10,20,2,3.00,6.00,1,0,Cash,Small,CosmosDB,2025-08-01 10:42:00.000
146,txn-000146,20250804,22900,328,2,16,4,7.25,29.00,5,1,Credit Card,Large,CosmosDB,2025-08-04 02:29:00.000
147,txn-000147,20250804,124700,221,3,11,4,3.00,12.00,1,3,Debit Card,Medium,CosmosDB,2025-08-04 12:47:00.000
148,txn-000148,20250802,15200,105,15,15,1,4.75,4.75,3,0,Mobile Pay,Small,CosmosDB,2025-08-02 01:52:00.000
149,txn-000149,20250804,114600,384,14,19,1,2.75,2.75,5,0,Mobile Pay,Large,CosmosDB,2025-08-04 11:46:00.000
150,txn-000150,20250804,115200,298,19,2,2,4.25,8.50,3,1,Mobile Pay,Medium,CosmosDB,2025-08-04 11:52:00.000
151,txn-000151,20250803,102300,279,8,13,1,3.25,3.25,3,1,Mobile Pay,Large,CosmosDB,2025-08-03 10:23:00.000
152,txn-000152,20250803,25900,244,9,2,2,3.25,6.50,1,3,Mobile Pay,Small,CosmosDB,2025-08-03 02:59:00.000
153,txn-000153,20250802,181200,137,13,9,3,5.25,15.75,2,1,Debit Card,Large,CosmosDB,2025-08-02 18:12:00.000
154,txn-000154,20250802,221400,276,3,6,1,6.00,6.00,2,0,Credit Card,Large,CosmosDB,2025-08-02 22:14:00.000
155,txn-000155,20250803,234100,304,16,4,1,4.75,4.75,3,0,Cash,Medium,CosmosDB,2025-08-03 23:41:00.000
156,txn-000156,20250803,130100,304,8,16,1,5.50,5.50,1,1,Debit Card,Small,CosmosDB,2025-08-03 13:01:00.000
157,txn-000157,20250802,181500,233,17,12,1,2.50,2.50,4,0,Gift Card,Small,CosmosDB,2025-08-02 18:15:00.000
158,txn-000158,20250804,83700,412,8,12,4,2.75,11.00,5,0,Debit Card,Small,CosmosDB,2025-08-04 08:37:00.000
159,txn-000159,20250804,51100,97,18,9,2,4.50,9.00,5,2,Debit Card,Medium,CosmosDB,2025-08-04 05:11:00.000
160,txn-000160,20250801,100100,158,13,16,2,7.25,14.50,3,3,Gift Card,Large,CosmosDB,2025-08-01 10:01:00.000
161,txn-000161,20250801,81400,337,10,8,2,3.50,7.00,2,2,Cash,Medium,CosmosDB,2025-08-01 08:14:00.000
162,txn-000162,20250803,161600,100,19,11,1,3.00,3.00,4,1,Debit Card,Medium,CosmosDB,2025-08-03 16:16:00.000
163,txn-000163,20250801,155300,312,19,18,1,6.25,6.25,4,3,Gift Card,Small,CosmosDB,2025-08-01 15:53:00.000
164,txn-000164,20250802,144500,68,9,9,1,5.25,5.25,4,0,Cash,Large,CosmosDB,2025-08-02 14:45:00.000
165,txn-000165,20250803,184000,163,5,5,4,3.25,13.00,4,0,Cash,Small,CosmosDB,2025-08-03 18:40:00.000
166,txn-000166,20250801,230400,191,7,11,3,3.75,11.25,3,2,Gift Card,Large,CosmosDB,2025-08-01 23:04:00.000
167,txn-000167,20250803,211500,74,9,8,4,4.75,19.00,0,2,Mobile Pay,Large,CosmosDB,2025-08-03 21:15:00.000
168,txn-000168,20250803,103900,26,18,19,2,1.25,2.50,1,0,Cash,Small,CosmosDB,2025-08-03 10:39:00.000
169,txn-000169,20250803,94800,101,8,11,1,2.25,2.25,5,2,Debit Card,Small,CosmosDB,2025-08-03 09:48:00.000
170,txn-000170,20250801,170300,244,14,17,2,7.00,14.00,5,1,Gift Card,Small,CosmosDB,2025-08-01 17:03:00.000
171,txn-000171,20250801,172000,35,20,18,3,6.25,18.75,5,1,Debit Card,Small,CosmosDB,2025-08-01 17:20:00.000
172,txn-000172,20250802,12100,223,10,15,4,4.75,19.00,3,2,Mobile Pay,Small,CosmosDB,2025-08-02 01:21:00.000
173,txn-000173,20250802,52600,184,10,19,1,2.00,2.00,5,3,Debit Card,Medium,CosmosDB,2025-08-02 05:26:00.000
174,txn-000174,20250804,83600,441,5,14,4,2.75,11.00,1,3,Gift Card,Medium,CosmosDB,2025-08-04 08:36:00.000
175,txn-000175,20250803,175700,111,14,7,1,4.50,4.50,0,1,Cash,Medium,CosmosDB,2025-08-03 17:57:00.000
176,txn-000176,20250803,110000,392,3,3,4,3.50,14.00,0,0,Mobile Pay,Medium,CosmosDB,2025-08-03 11:00:00.000
177,txn-000177,20250803,204700,268,12,9,2,4.25,8.50,1,2,Mobile Pay,Medium,CosmosDB,2025-08-03 20:47:00.000
178,txn-000178,20250803,143500,241,16,12,3,3.25,9.75,4,3,Debit Card,Medium,CosmosDB,2025-08-03 14:35:00.000
179,txn-000179,20250804,20100,126,11,12,1,2.50,2.50,2,1,Mobile Pay,Small,CosmosDB,2025-08-04 02:01:00.000
180,txn-000180,20250801,223000,206,13,15,3,5.50,16.50,5,0,Cash,Medium,CosmosDB,2025-08-01 22:30:00.000
181,txn-000181,20250801,111400,141,9,15,4,5.00,20.00,0,1,Mobile Pay,Small,CosmosDB,2025-08-01 11:14:00.000
182,txn-000182,20250801,230000,235,1,2,2,5.25,10.50,0,3,Debit Card,Large,CosmosDB,2025-08-01 23:00:00.000
183,txn-000183,20250802,14200,5,16,7,2,3.50,7.00,4,2,Mobile Pay,Small,CosmosDB,2025-08-02 01:42:00.000
184,txn-000184,20250804,130100,396,13,4,4,3.75,15.00,2,0,Mobile Pay,Small,CosmosDB,2025-08-04 13:01:00.000
185,txn-000185,20250804,14500,166,10,17,3,8.75,26.25,2,3,Gift Card,Large,CosmosDB,2025-08-04 01:45:00.000
186,txn-000186,20250803,115300,28,16,10,1,4.50,4.50,5,1,Debit Card,Medium,CosmosDB,2025-08-03 11:53:00.000
187,txn-000187,20250803,131800,105,13,8,1,2.50,2.50,4,1,Debit Card,Small,CosmosDB,2025-08-03 13:18:00.000
188,txn-000188,20250802,83000,491,11,2,4,5.00,20.00,4,0,Gift Card,Large,CosmosDB,2025-08-02 08:30:00.000
189,txn-000189,20250801,61300,477,3,11,3,3.75,11.25,0,2,Debit Card,Large,CosmosDB,2025-08-01 06:13:00.000
190,txn-000190,20250803,95800,70,15,12,4,3.25,13.00,2,3,Gift Card,Medium,CosmosDB,2025-08-03 09:58:00.000
191,txn-000191,20250802,142100,83,1,10,4,5.50,22.00,5,2,Debit Card,Large,CosmosDB,2025-08-02 14:21:00.000
192,txn-000192,20250804,130000,40,16,18,2,7.00,14.00,4,3,Gift Card,Medium,CosmosDB,2025-08-04 13:00:00.000
193,txn-000193,20250802,30300,261,13,10,2,5.50,11.00,1,1,Gift Card,Large,CosmosDB,2025-08-02 03:03:00.000
194,txn-000194,20250801,163500,499,13,20,4,4.50,18.00,1,1,Gift Card,Large,CosmosDB,2025-08-01 16:35:00.000
195,txn-000195,20250801,193500,339,4,10,1,5.75,5.75,4,1,Credit Card,Large,CosmosDB,2025-08-01 19:35:00.000
196,txn-000196,20250803,84200,59,20,6,1,4.00,4.00,1,3,Debit Card,Small,CosmosDB,2025-08-03 08:42:00.000
197,txn-000197,20250801,110000,362,10,6,2,6.00,12.00,5,2,Credit Card,Large,CosmosDB,2025-08-01 11:00:00.000
198,txn-000198,20250803,215100,108,7,17,3,8.00,24.00,4,2,Cash,Medium,CosmosDB,2025-08-03 21:51:00.000
199,txn-000199,20250803,55900,336,20,13,4,3.25,13.00,4,2,Credit Card,Large,CosmosDB,2025-08-03 05:59:00.000
200,txn-000200,20250804,95200,426,15,11,3,3.75,11.25,2,1,Cash,Large,CosmosDB,2025-08-04 09:52:00.000
201,txn-000201,20250803,115800,246,13,3,3,3.50,10.50,5,1,Cash,Medium,CosmosDB,2025-08-03 11:58:00.000
202,txn-000202,20250804,113600,8,20,7,2,3.50,7.00,3,3,Credit Card,Small,CosmosDB,2025-08-04 11:36:00.000
203,txn-000203,20250802,154700,347,13,2,4,5.25,21.00,1,1,Cash,Large,CosmosDB,2025-08-02 15:47:00.000
204,txn-000204,20250801,73000,452,11,13,1,3.25,3.25,4,3,Debit Card,Large,CosmosDB,2025-08-01 07:30:00.000
205,txn-000205,20250801,170600,297,2,20,4,4.50,18.00,5,3,Gift Card,Large,CosmosDB,2025-08-01 17:06:00.000
206,txn-000206,20250803,203200,118,17,11,1,2.25,2.25,5,1,Debit Card,Small,CosmosDB,2025-08-03 20:32:00.000
207,txn-000207,20250802,85700,28,4,1,1,4.00,4.00,3,2,Mobile Pay,Medium,CosmosDB,2025-08-02 08:57:00.000
